target_table.target_column_name,source_table_name.source_column_name
F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_ID,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsInvoiceId
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_INV_LINE_NUMBER,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsInvoiceLineNumber
F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_DISTRIBUTION_ID,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsInvoiceDistributionId
F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_LINE_NUMBER,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsDistributionLineNumber
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_CODE_COMBINATION_ID,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsDistCodeCombinationId
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_ACCOUNTING_DATE_SK,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsAccountingDate
F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_CLASS,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsDistributionClass
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_DESCRIPTION,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsDescription
F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_AMOUNT,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsAmount
F_AP_INVOICE_LINE_DISTRIBUTION.POSTED_FLAG,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsPostedFlag
F_AP_INVOICE_LINE_DISTRIBUTION.TYPE_1099,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsType1099
F_AP_INVOICE_LINE_DISTRIBUTION.PO_DISTRIBUTION_ID,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsPoDistributionId
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_LAST_UPDATE_DATE,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsLastUpdateDate
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_LAST_UPDATE_BY,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsLastUpdatedBy
F_AP_INVOICE_LINE_DISTRIBUTION.DIST_LAST_UPDATE_LOGIN,AP_InvoiceDistributionExtractPVO.ApInvoiceDistributionsLastUpdateLogin
F_AP_INVOICE_LINE_DISTRIBUTION.BZ_LOAD_DATE,AP_InvoiceDistributionExtractPVO.AddDateTime
F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_ID,AP_InvoiceLineExtractPVO.ApInvoiceLinesAllInvoiceId
F_AP_INVOICE_LINE_DISTRIBUTION.INVOICE_LINE_NUMBER,AP_InvoiceLineExtractPVO.ApInvoiceLinesAllLineNumber
F_AP_INVOICE_LINE_DISTRIBUTION.LINE_ACCOUNTING_DATE_SK,AP_InvoiceLineExtractPVO.ApInvoiceLinesAllAccountingDate
F_AP_INVOICE_LINE_DISTRIBUTION.LINE_DESCRIPTION,AP_InvoiceLineExtractPVO.ApInvoiceLinesAllDescription
F_AP_INVOICE_LINE_DISTRIBUTION.DISTRIBUTION_AMOUNT,AP_InvoiceLineExtractPVO.ApInvoiceLinesAllAmount
F_AP_INVOICE_LINE_DISTRIBUTION.LINES_AMOUNT_debug_only,AP_InvoiceLineExtractPVO.ApInvoiceLinesAllAmount
